Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0	27,5
0,1	27,8
0,1	27,6
0,2	27,6
0,2	27,5
0,3	27,5
0,3	27,2
0,4	27,6
0,4	26,8
0,5	27,2
0,5	26,7
0,6	28
0,7	27,4
0,7	27
0,8	27,2
0,8	27,4
0,8	27,4
0,9	27,4
0,9	27,6
1	27,3
1	28,1
1,1	27,6
1,1	27,9
1,2	27,5
1,2	27,2
1,3	27,2
1,3	27
1,4	27,7
1,4	27,7
1,5	27,2
1,5	27,3
1,6	27,3
1,6	27,9
1,7	27,7
1,7	27,3
1,8	28,1
1,8	27,2
1,9	27,2
1,9	27,2
2	28
2	27,4
2,1	28
2,1	27,6
2,2	27,4
2,2	27,5
2,3	28,3
2,4	27
2,4	27,7
2,5	27,5
2,5	27,5
2,5	27,7
2,6	28,1
2,6	27,7
2,7	28,3
2,7	27,3
2,8	27,7
2,8	27,5
2,9	28,2
2,9	27,9
3	27,8
3	27,7
3,1	27,7
3,1	27,9
3,2	27,7
3,2	27,7
3,3	27,3
3,3	27,9
3,4	27,3
3,4	28,1
3,5	27,4
3,5	27,7
3,6	27,8
3,6	27,8
3,7	27,1
3,7	27,9
3,8	27,2
3,9	27,8
3,9	27,2
3,9	28
4	27,6
4	27,4
4,1	27,8
4,1	27,7
4,2	27,2
4,2	28
4,3	28,1
4,3	28,1
4,4	27,2
4,4	27,6
4,5	27,4
4,5	27,6
4,6	27,7
4,6	28,4
4,7	30
4,8	32,8
4,8	34,1
4,8	37,5
4,9	42,1
4,9	48,4
5	52,4
5	53,7
5,1	55,3
5,1	55,3
5,2	55
5,2	55
5,3	55,1
5,3	54,2
5,4	54,6
5,4	54,6
5,5	54,1
5,5	53,6
5,6	54,4
5,6	53,6
5,7	54,1
5,7	53,9
5,8	53,8
5,8	53,8
5,9	54,2
5,9	54,1
6	54,3
6	53,1
6,1	54
6,1	53,6
6,2	53,6
6,2	53,3
6,3	54,4
6,3	53,4
6,4	54,1
6,4	53,6
6,5	54,2
6,5	53,4
6,6	54,4
6,6	54
6,7	54,4
6,7	53,7
6,8	53,9
6,8	53,9
6,9	53,5
6,9	53,2
7	53,8
7	53,4
7,1	53,8
7,1	53,4
7,2	54
7,2	53,8
7,3	54,2
7,3	53,1
7,4	53,8
7,4	53,7
7,5	53,4
7,5	53,1
7,6	53,6
7,7	53,5
7,7	53,5
7,8	52,7
7,8	53,7
7,8	52,8
7,9	53,7
7,9	53,2
8	53,6
8,1	53,7
8,1	53,3
8,1	53,4
8,2	53,5
8,2	53,3
8,3	53,7
8,3	53,9
8,4	53,4
8,4	51,7
8,5	53,9
8,5	53,4
8,6	54,1
8,6	53,1
8,7	53,1
8,7	53,3
8,8	53,4
8,8	52,9
8,9	54,4
8,9	52,1
9	53,8
9,1	52,4
9,1	54
9,2	53,3
9,2	53,5
9,2	53,1
9,3	53,7
9,3	52
9,4	53,3
9,4	51,7
9,5	54,4
9,5	51,3
9,6	54,1
9,6	51,8
9,7	53,6
9,7	52
9,8	54
9,8	51,7
9,9	54
9,9	51,7
10	54,1
10	51,2
10,1	54,1
10,1	51,4
10,2	53,6
10,2	51,2
10,3	53,8
10,3	51,1
10,4	54,1
10,4	51,7
10,5	53,4
10,6	53,3
10,6	53,1
10,7	53,7
10,7	54
10,8	51,7
10,8	53,6
10,8	53,1
10,9	53
10,9	53,6
11	53,3
11	53,4
11,1	53,5
11,1	53,7
11,2	53,3
11,2	53,7
11,3	53,1
11,3	54,5
11,4	53,1
11,4	52,9
11,5	53,4
11,5	53,4
11,6	53,2
11,6	54
11,7	53,4
11,7	53,2
11,8	53
11,8	53,4
11,9	53,1
11,9	51,4
12	53,8
12,1	51,4
12,1	53,2
12,1	51,9
12,2	53,4
12,2	53,5
12,3	53,1
12,3	53,9
12,4	53,1
12,4	53,9
12,5	53,6
12,5	53,7
12,6	53,8
12,6	53,2
12,7	53,4
12,7	53,2
12,8	53,4
