Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0,4	25,4
2	26,1
3	25,9
4	26,7
5	26,5
6	26,3
7	26,5
8	26,3
9	25,7
10	26,3
11	28
12	25,9
13	25,5
14	25,6
15	25,5
16	25,5
17	25,7
18	25,7
19	25,7
20	25,5
21	24,9
22	25,5
23	25,4
24	25,7
25	25,9
26	25,9
27	25,4
28	25,3
29	25,5
30	25,4
31	25,4
32	25,6
33	25,2
34	25,1
35	25,5
36	25,4
37	25,4
38	25,2
39	25,2
40	25,2
41	25,4
42	25,5
43	25,4
44	25
45	25,2
46	25,7
47	25,3
48	25,6
49	24,4
50	24,8
51	25,8
52	24,9
53	25,6
54	25,4
55	25,5
56	25,7
57	25,7
58	24,9
59	25,4
60	25,7
61	25,6
62	25,3
