C:\Users\Admin\Desktop	Temperatur in °C - Temperaturverlauf
0,5	101,9
2	102,8
3	103,9
4	103,7
5	103,7
6	103,1
7	102,6
8	102,8
9	102,9
10	102,2
11	102,9
12	103,2
13	102,3
14	103,1
15	102,8
16	102,9
17	103,3
18	102,7
19	102,3
20	102,2
21	102,6
22	82,9
23	103,1
24	103,1
25	103,5
26	103,3
27	103,3
28	102,8
29	103,2
30	103,2
31	103,2
32	103,4
33	102,9
34	103,1
35	103,3
36	103
37	103,2
38	103
39	102,5
40	102,5
41	103
42	103,5
43	102,8
44	102,6
45	102,9
46	102,7
47	102,9
48	102,9
49	103,1
50	103,1
51	102,9
52	102,8
53	103,5
54	103
55	103,2
56	102,7
57	102,8
58	102,8
59	103
60	102,9
61	103,1
