Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0	95,1
0,1	96,1
0,1	95,5
0,2	95,6
0,2	95,5
0,3	95,6
0,3	95,5
0,4	95,2
0,4	95,7
0,5	95,8
0,5	96,1
0,6	95,8
0,6	95,6
0,7	95,8
0,7	95,4
0,8	95,4
0,8	95,1
0,9	95,5
0,9	95,5
1	95,7
1,1	95,2
1,1	95,7
1,1	96
1,2	95,3
1,2	95
1,3	95,5
1,3	95,4
1,4	95,4
1,4	95,7
1,5	95,5
1,5	95,5
1,6	96
1,6	95,8
1,7	95,9
1,7	95,3
1,8	96,2
1,8	95,7
1,9	96,1
1,9	96,1
2	96,3
2	96
2,1	96,1
2,1	96,2
2,2	96,5
2,2	95,8
2,3	96,2
2,4	96,1
2,4	96,1
2,5	96
2,5	96,2
2,5	95,9
2,6	96,1
2,6	96,1
2,7	96,6
2,7	96
2,8	96,6
2,8	96,1
2,9	96,8
2,9	96,7
3	96,6
3	96,5
3,1	96,8
3,1	96,2
3,2	96,6
3,2	96,4
3,3	97
3,3	96,4
3,4	96,4
3,4	95,9
3,5	96,5
3,5	96,5
3,6	96,6
3,6	96,5
3,7	96,9
3,8	96,3
3,8	96,6
3,9	96,3
3,9	96,5
3,9	96,6
4	96,5
4	96,6
4,1	96,3
4,1	96,7
4,2	97,1
4,2	96
4,3	97,1
4,3	96,3
4,4	96,5
4,4	96,1
4,5	97,2
4,5	96,5
4,6	97,2
4,6	96,2
4,7	96,7
4,7	96,4
4,8	96,5
4,8	96,5
4,9	96,5
4,9	96,8
5	97,1
5	96,6
5,1	96,9
5,2	96,2
5,2	96,8
5,2	96,6
5,3	96,4
5,3	96,8
5,4	97,1
5,4	96,5
5,5	97,1
5,5	96,2
5,6	97
5,6	96,4
5,7	96,1
5,7	96,3
5,8	96,5
5,8	96,7
5,9	96,5
5,9	96,6
6	96,3
6	96,5
6,1	97
6,1	96,5
6,2	97
6,2	96,4
6,3	96,4
6,3	96,2
6,4	96,5
6,4	96,4
6,5	96,8
6,5	96,2
6,6	96,9
6,6	96,6
6,7	96,9
6,8	96,6
6,8	96,7
6,8	96,3
6,9	96
6,9	96,2
7	96,6
7	96,7
7,1	96,5
7,1	96,6
7,2	96,7
7,2	96,1
7,3	96,6
7,3	96,9
7,4	96,7
7,4	96,5
7,5	96,7
7,5	96,4
7,6	96,7
7,6	96
7,7	96,9
7,7	95,6
7,8	96,6
7,8	96,3
7,9	97
7,9	96,6
8	95,9
8	96
8,1	96,1
8,2	96,2
8,2	96,7
8,2	96,5
8,3	96,8
8,3	96,3
8,4	96,2
8,4	96,2
8,5	96,6
8,5	96,1
8,6	96,5
8,6	96,6
8,7	96,2
8,7	96,3
8,8	96,5
8,8	96,3
8,9	95,9
8,9	96,2
9	95,8
