Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0	47,5
0,1	47,3
0,1	48,3
0,2	47,2
0,2	48,2
0,3	47,1
0,3	48
0,4	47,3
0,5	48,4
0,5	47,4
0,6	48,2
0,6	47,8
0,6	47,7
0,7	47,1
0,7	48,7
0,8	46,7
0,8	48,5
0,9	46,7
0,9	47,9
1	47,6
1	48,1
1,1	46,9
1,1	47,9
1,2	47,2
1,2	48,3
1,3	46,8
1,3	48
1,4	46,3
1,4	47,6
1,5	47
1,5	48,1
1,6	47,3
1,6	48
1,7	47
1,8	48,2
1,8	47,3
1,8	48,7
1,9	47,1
1,9	47,8
2	47,1
2	48
2,1	47,3
2,1	47,9
2,2	47,7
2,2	48,1
2,3	47,2
2,3	48,1
2,4	47,1
2,4	48,4
2,5	47,4
2,5	48
2,6	47,4
2,6	47,7
2,7	47,4
2,7	48,5
2,8	47,3
2,8	48,2
2,9	47,4
2,9	47,6
3	46,8
3	48
3,1	47,1
3,1	48,3
3,2	47,2
3,2	47,8
3,3	46,8
3,4	48,4
3,4	47,1
3,5	48,1
3,5	47,2
3,5	47,9
3,6	47,3
3,6	48,3
3,7	46,8
3,7	48,1
3,8	47,1
3,8	48,2
3,9	47,1
3,9	48,7
4	47
4	47,6
4,1	47,3
4,1	49,1
4,2	47,1
4,2	48,5
4,3	47,4
4,3	48,3
4,4	47,3
4,4	48,4
4,5	47,1
4,5	48,5
4,6	46,7
4,7	48,6
4,7	46,7
4,8	47,9
4,8	47,2
4,8	48,3
4,9	47,2
4,9	48,4
5	47,3
5	48
5,1	47
5,1	48,5
5,2	47,3
5,2	48,5
5,3	47,1
5,3	48
5,4	47,2
5,4	48,3
5,5	47,4
5,5	48,6
5,6	46,6
5,6	48,6
5,7	47,6
5,7	49,1
5,8	47,2
5,8	48,4
5,9	47,3
5,9	48,7
6	47,5
6	48,9
6,1	47
6,2	48,5
6,2	47,9
6,2	49
6,3	46,9
6,3	49
6,4	47,2
6,4	48,2
6,5	46,7
6,5	48
6,6	47,4
6,6	48,2
6,7	47,4
6,7	48,4
6,8	47,7
6,8	48,8
6,9	47,3
6,9	48,4
7	47,1
7	47,8
7,1	47,2
7,1	48,3
7,2	46,9
7,2	48,7
7,3	47,4
7,3	48,2
7,4	47,1
7,5	48,5
7,5	47,2
7,5	48,3
7,6	47,1
7,7	47,7
7,7	46,8
7,7	47,5
7,8	47
7,8	48,5
7,9	47,2
7,9	48,7
8	47,4
8	48,2
8,1	46,9
8,1	48,3
8,2	47,3
8,2	48,8
8,3	46,7
8,3	49
8,4	47
8,4	48,2
8,5	47,1
8,5	48,6
8,6	47
8,6	48,6
8,7	47,3
8,7	48,9
8,8	47,6
8,8	48,7
8,9	47,3
8,9	48,5
9	47,5
9	48,3
9,1	46,7
9,1	48,4
9,2	46,2
9,2	48,4
9,3	47,9
9,3	48,6
9,4	47,4
9,4	48,7
9,5	47
9,5	48,6
9,6	47,6
9,6	49
9,7	47
9,7	48,2
9,8	46,9
9,8	48
9,9	47,6
9,9	48,8
10	47,5
10	48,6
10,1	47,1
10,1	48,8
10,2	47,6
