Zeit in ms - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0,8	-19,1
2	-18,9
3	-18,3
4	-18,8
5	-19,3
6	-18,9
7	-19,3
8	-18,4
9	-18,1
10	-18,9
11	-18,4
12	-18,4
13	-18,3
14	-18,1
15	-18,4
16	-17,9
17	-18
18	-18,1
19	-18,5
20	-17,9
21	-18
22	-18,1
23	-17,5
24	-18
25	-18
26	-17,3
27	-17,4
28	-18,2
29	-17,6
30	-17,8
31	-18,3
32	-18,2
33	-18
34	-18,2
35	-17,8
36	-18,1
37	-18,7
38	-18,1
39	-18,4
40	-18
41	-17,9
42	-17,6
43	-17,4
44	-17,2
45	-17,9
46	-17,8
47	-17,3
48	-17,5
49	-16,9
50	-16,9
51	-17,2
52	-17,2
53	-16,7
54	-17,1
55	-17,3
56	-17,5
57	-17,5
58	-17,6
59	-18,1
60	-17,6
61	-16,9
62	-17,1
