Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0,9	102,1
2	103,6
3	103,4
4	103,3
5	103,6
6	97,3
7	103,6
8	103,6
9	103,5
10	103,7
11	103,1
12	103,2
13	103,4
14	103,4
15	103,1
16	103,5
17	103,9
18	104
19	104,9
20	104
21	104,1
22	103,8
23	104
24	103,9
25	103,7
26	104,3
27	104,3
28	104,6
29	104,2
30	104,4
31	104,2
32	104,1
33	104,1
34	104
35	104,3
36	103,6
37	103,9
38	103,9
39	103,7
40	103,6
41	97,7
42	104,2
43	103,3
44	103,9
45	104,2
46	103,6
47	103,9
48	103,8
49	104,2
50	104,2
51	103,9
52	105,3
53	105,6
54	105,1
55	104,4
56	105,1
57	104,1
58	104,5
59	103,9
60	104,2
61	104,2
